card_id,card_name,bank,network,eligible_mccs,earn_rate_mpd,base_rate_mpd,cap_sgd,cap_period,min_spend,requires_amaze,amaze_fee_pct,eligible_merchants,caveat,last_verified,source_url,eligible_channels,earn_block_sgd
hsbc_revolution,HSBC Revolution,HSBC,Visa,"5441,5462,5811,5812,5813,5262,5309,5310,5311,5331,5399,5732,5733,5734,5735,5912,5942,5944,5945,5950,4121,4511,7011,7997",4.0,0.4,1000,calendar_month,0,false,0.0,,,2026-05-11,src-A:hsbc-revolution-2026-04,"online,contactless",1
uob_ppv,UOB Preferred Platinum Visa,UOB,Visa,"5812,5814,5411,5912,5311,5262,5331,4121",4.0,0.4,600,calendar_month,0,false,0.0,,,2026-05-11,src-A:uob-preferred-platinum-visa-2026-03,"online,contactless",5
citi_rewards_mc,Citi Rewards Mastercard,Citibank,Mastercard,"5311,5331,5399,5611,5621,5631,5641,5651,5655,5661,5691,5697,5699,5732,5733,5734,5735,5812,5813,5814,5811,5441,5462,5411,5912,5262,5942,5944,5945,5947,5948,5970,5977,5999,5815,5816,5817,5818,4816",4.0,0.4,1000,statement_month,0,false,0.0,,Earns 4 mpd on all online transactions (excluding travel). Offline only earns 4 mpd at department stores and apparel retailers — earn rate at other offline merchants is 0.4 mpd.,2026-05-11,src-A:citi-rewards-2026-02,"online,contactless",1
uob_ladys,UOB Lady's Card,UOB,Visa,"5812,5814,5411,5912,5311,5262,5541,4121,4722,7011,4511",4.0,0.4,1000,calendar_month,0,false,0.0,,"Earns 4 mpd only at 2 bonus categories chosen by the cardholder (Dining, Shopping, Entertainment, Travel, Transport, Beauty & Wellness, or Family). Confirm selected categories before relying on this rate.",2026-05-11,src-A:uob-ladys-card-ladys-solitaire-2025-08,,5
uob_ladys_solitaire,UOB Lady's Solitaire,UOB,Visa,"5812,5814,5411,5912,5311,5262,5541,4121,4722,7011,4511",4.0,0.4,750,calendar_month,0,false,0.0,,"Earns 4 mpd only at 2 bonus categories chosen by the cardholder (Dining, Shopping, Entertainment, Travel, Transport, Beauty & Wellness, or Family). Confirm selected categories before relying on this rate.",2026-05-11,src-A:uob-ladys-card-ladys-solitaire-2025-08,,5
dbs_wwmc,DBS Woman's World Card,DBS,Mastercard,"5262,5311,5331,5411,5732,5912,5812,5814,5945,5977,4511,7011,4722",4.0,0.4,1000,calendar_month,0,false,0.0,,,2026-05-11,src-A:dbs-womans-world-2025-08,online,5
dbs_altitude_visa,DBS Altitude Visa,DBS,Visa,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,5
dbs_altitude_amex,DBS Altitude Amex,DBS,Amex,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,5
dbs_yuu_visa,DBS yuu Visa,DBS,Visa,"5411,5912,5814,4121,4111,4814",10.0,0.14,822,calendar_month,800,false,0.0,"Cold Storage,Giant,Market Place,Guardian,7-Eleven,CHAGEE,foodpanda,Gojek,Singtel,Charge+,SimplyGo",,2026-05-11,src-A:dbs-yuu-2025-10,,5
maybank_xl,Maybank XL Card,Maybank,Visa,"5812,5814,5411,5912,5311,4722,7011,4511",4.0,0.4,1000,calendar_month,500,false,0.0,,,2026-05-11,src-A:maybank-xl-rewards-2025-08,,1
ocbc_90n_mc,OCBC 90N Mastercard,OCBC,Mastercard,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,1
ocbc_90n_visa,OCBC 90N Visa,OCBC,Visa,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,1
ocbc_rewards,OCBC Rewards Card,OCBC,Visa,"5309,5311,5611,5621,5631,5641,5651,5655,5661,5691,5699,5941,5948",4.0,0.4,1110,calendar_month,0,false,0.0,,,2026-05-11,src-A:ocbc-titanium-rewards-2025-07,,1
uob_signature,UOB Visa Signature,UOB,Visa,"5541,5542,4111",4.0,0.4,1200,statement_month,1000,false,0.0,,"Earns 4 mpd only if monthly local contactless spend is between $1,000–$1,200, or FCY spend is between $1,000–$1,200. Outside this window the earn rate drops to base.",2026-05-11,src-A:uob-visa-signature-2025-08,,5
uob_prvi_miles_visa,UOB PRVI Miles Visa,UOB,Visa,,1.4,1.4,,calendar_month,0,false,0.0,,,,,,5
uob_prvi_miles_amex,UOB PRVI Miles Amex,UOB,Amex,,1.4,1.4,,calendar_month,0,false,0.0,,,,,,5
hsbc_advance,HSBC Advance,HSBC,Visa,,1.2,1.2,,calendar_month,0,false,0.0,,,,,,1
hsbc_travelone,HSBC TravelOne,HSBC,Visa,,1.2,1.2,,calendar_month,0,false,0.0,,,,,,1
hsbc_premier_mc,HSBC Premier Mastercard,HSBC,Mastercard,,1.68,1.68,,calendar_month,0,false,0.0,,,,,,1
krisflyer_uob,KrisFlyer UOB Credit Card,UOB,Visa,"5812,5814,5311,5262,4121,4722,7011,4511",2.4,1.2,,calendar_month,1000,false,0.0,,"Accelerated 2.4 mpd requires min S$1,000 annual SIA Group spend (Singapore Airlines, Scoot, KrisShop) per membership year. Without it, earn rate is 1.2 mpd.",2026-05-11,src-A:krisflyer-uob-2026-04,,5
citi_premiermiles,Citi PremierMiles,Citibank,Visa,,1.2,1.2,,calendar_month,0,false,0.0,,,,,,1
citi_prestige,Citi Prestige,Citibank,Visa,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,1
dbs_vantage,DBS Vantage,DBS,Visa,,1.5,1.5,,calendar_month,0,false,0.0,,,,,,5
stanChart_journey,Standard Chartered Journey,Standard Chartered,Visa,"5812,5814,5411,4121",3.0,1.2,1000,statement_month,0,false,0.0,,,,,,1
stanChart_smart,Standard Chartered Smart,Standard Chartered,Visa,"5812,5814,4111",9.28,1.0,,statement_month,1500,false,0.0,,,2026-05-11,src-A:standard-chartered-smart-2026-02,,1
stanChart_vi,Standard Chartered Visa Infinite,Standard Chartered,Visa,,1.4,1.4,,statement_month,2000,false,0.0,,,,,,1
uob_one,UOB One,UOB,Visa,,0.4,0.4,,calendar_month,0,false,0.0,,,,,,5
chocolate_visa,Chocolate Visa,Chocolate,Visa,,1.0,1.0,1000,calendar_month,0,false,0.0,,,,,,1
