card_id,card_name,bank,network,eligible_mccs,earn_rate_mpd,base_rate_mpd,cap_sgd,cap_period,min_spend,requires_amaze,amaze_fee_pct,eligible_merchants,eligible_channels,caveat,last_verified,source_url,earn_block_sgd
hsbc_revolution,HSBC Revolution,HSBC,Visa,"5812,5814,5411,5912,5311",4.0,0.4,1000,calendar_month,0,false,0,,"online,contactless",,2026-06-10,,1
uob_ppv,UOB Preferred Platinum Visa,UOB,Visa,"5812,5814,5411,5311,5912",4.0,0.4,600,calendar_month,0,false,0,,mobile_contactless,,2026-06-10,,5
dbs_altitude_visa,DBS Altitude Visa,DBS,Visa,,1.2,1.2,,calendar_month,0,false,0,,,,2026-06-10,,5
amaze_citi,Amaze + Citi Rewards,Citi,Mastercard,"5812,5814,5411,5912,5311",4.0,0.4,1000,statement_month,0,true,1,,contactless,Requires Amaze pairing,2026-06-10,,1
dbs_yuu_visa,DBS yuu Visa,DBS,Visa,"5411,5814,5912",10.0,0.14,2000,calendar_month,0,false,0,"Cold Storage, Giant, Guardian, Food Junction",,Partner-only bonus,2026-06-10,,1
dbs_wwmc,DBS Woman's World Mastercard,DBS,Mastercard,"5812,5311,4722,4511",4.0,0.4,1500,calendar_month,0,false,0,,online,,2026-06-10,,1
citi_rewards_mc,Citi Rewards Mastercard,Citi,Mastercard,"5411,5311,5331,5399,5611,5621,5631,5641,5651,5655,5661,5691,5697,5699,5948",4.0,0.4,1000,statement_month,0,false,0,,"online,contactless,mobile_contactless",,2026-06-10,,1
ocbc_90n_visa,OCBC 90N Visa,OCBC,Visa,,1.3,1.3,,calendar_month,0,false,0,,,,2026-06-10,,1
uob_signature,UOB Visa Signature,UOB,Visa,"5812,5814,5411,5311,5541",4.0,0.4,2000,calendar_month,1000,false,0,,"contactless,mobile_contactless",Minimum monthly spend required,2026-06-10,,5
standard_chartered_journey,Standard Chartered Journey,Standard Chartered,Mastercard,"4121,4722,4511,5541",3.0,1.2,,calendar_month,0,false,0,,"online,app,contactless",,2026-06-10,,1
