merchant_name,outlet,channel,mcc,mcc_category,confidence,data_points,last_verified
Eastarjet,,online,4511,Airlines,high,0,
Love Bonito (313 Mall - Shopback Pay),,online,5311,Department Store / Online,high,0,
Pharmex Healthcare,,contactless,5311,Department Store / Online,high,0,
changi,,any,5311,Department Store / Online,high,7,2026-04
courts,,any,5311,Department Store / Online,medium,2,2025-04
grab,,any,7399,Business Services,high,1,2026-06
heymax,,any,5311,Department Store / Online,high,37,2026-05
iShopChangi (via ShopBack),,online,5311,Department Store / Online,high,0,
ikea,,any,5311,Department Store / Online,medium,2,2024-11
klook,,any,5311,Department Store / Online,medium,3,2025-05
lazada,,any,5311,Department Store / Online,high,30,2026-05
ntuc,,any,5311,Department Store / Online,medium,2,2025-05
qoo10,,any,5311,Department Store / Online,medium,2,2024-07
shopback,,any,5311,Department Store / Online,high,22,2026-03
shopee,,any,5311,Department Store / Online,high,12,2026-05
starbucks,,any,5311,Department Store / Online,medium,3,2025-05
watsons,,any,5311,Department Store / Online,medium,11,2025-07
A KITCHEN,,contactless,5812,Dining,high,0,
A Kitchen  (Jurong East),,contactless,5812,Dining,high,0,
Belle-Ville,,contactless,5812,Dining,high,0,
Bistecca Tuscan Steakhouse,,contactless,5812,Dining,high,0,
CARLTON CITY HTL SPORE,,contactless,5812,Dining,high,0,
Chilli Up Hunan Cuisine,,contactless,5812,Dining,high,0,
HAKATA IKKOUSHA,,contactless,5812,Dining,high,0,
HANS - Novena Square,,contactless,5812,Dining,high,0,
Hayop,,contactless,5812,Dining,high,0,
Ippudo (i12 Katong),,contactless,5812,Dining,high,0,
Jo Yi Cafe,,contactless,5812,Dining,high,0,
Longjing,,contactless,5812,Dining,high,0,
Ryo Sushi,,contactless,5812,Dining,high,0,
SEOREAJIB (Plaze Singapura),,contactless,5812,Dining,high,0,
TWG TEA BOUTIQUE - Changi Terminal 1,,contactless,5812,Dining,high,0,
Tai Cheong Bakery,,contactless,5812,Dining,high,0,
Tai Er  (Great World City),,contactless,5812,Dining,high,0,
The Barking Bean,,contactless,5812,Dining,high,0,
The Horse's Mouth,,contactless,5812,Dining,high,0,
Three Blind Pigs Asia Square Tower 1,,contactless,5812,Dining,high,0,
Tongue Tip Lanzhou Beef Noodle  (via Kris+),,online,5812,Dining,high,0,
Tsukiji Kaisendon,,contactless,5812,Dining,high,0,
Unwine Bars,,contactless,5812,Dining,high,0,
XIANG XIANG HUNAN CUISINE,,contactless,5812,Dining,high,0,
Yakun Bukit Panjang Plaza (App),,online,5812,Dining,high,0,
Yakun Causeway point (App Visa),,online,5812,Dining,high,0,
Yakun Chinatown Point (App),,online,5812,Dining,high,0,
Yakun Clarke Quay Central (App),,online,5812,Dining,high,0,
Yakun Far East Square,,contactless,5812,Dining,high,0,
Yakun Fusionopolis (App Visa),,online,5812,Dining,high,0,
Yakun Fusionopolis (Visa contactless),,contactless,5812,Dining,high,0,
Yakun HDB Hub,,contactless,5812,Dining,high,0,
Yakun Holland Village,,contactless,5812,Dining,high,0,
Yakun Junction 8 (App),,online,5812,Dining,high,0,
Yakun Marina Square,,contactless,5812,Dining,high,0,
Yakun Metropolis (App Mastercard),,online,5812,Dining,high,0,
Yakun Nex Serangoon (App),,online,5812,Dining,high,0,
Yakun One Raffles Place (App Visa),,online,5812,Dining,high,0,
Yakun Paragon (App),,online,5812,Dining,high,0,
Yakun Suntec Level 2 (Paywave),,contactless,5812,Dining,high,0,
Yakun VivoCity B2 (Amex),,contactless,5812,Dining,high,0,
Yakun VivoCity B2 (App),,online,5812,Dining,high,0,
changi,,any,5812,Dining,high,2,2026-04
deliveroo,,any,5812,Dining,medium,4,2024-06
fairprice,,any,5812,Dining,high,1,2026-01
foodpanda,,any,5812,Dining,medium,2,2025-07
grab,,any,5812,Dining,high,12,2026-01
grabfood,,any,5812,Dining,medium,5,2025-12
heymax,,any,5812,Dining,high,20,2026-05
klook,,any,5812,Dining,medium,5,2025-05
kopitiam,,any,5812,Dining,medium,2,2024-05
marche,,any,5812,Dining,medium,3,2025-08
shopback,,any,5812,Dining,high,30,2026-03
starbucks,,any,5812,Dining,medium,2,2025-05
yakun,,any,5812,Dining,high,54,2026-04
Gain City Website,,online,5732,Electronics,high,0,
Kuriosity,,contactless,5732,Electronics,high,0,
Red Point Audio Electronics,,contactless,5732,Electronics,high,0,
challenger,,any,5732,Electronics,medium,6,2026-06
changi,,any,5732,Electronics,high,1,2026-04
courts,,any,5732,Electronics,medium,1,2025-04
harvey norman,,any,5732,Electronics,medium,9,2026-01
heymax,,any,5732,Electronics,high,11,2026-05
ikea,,any,5732,Electronics,medium,1,2024-11
978 seafood hua long,,contactless,5814,Fast Food / Cafe,high,0,
A Kitchen  (Bukit Merah),,contactless,5814,Fast Food / Cafe,high,0,
ALP*Huawei,,contactless,5814,Fast Food / Cafe,high,0,
Age Ya,,contactless,5814,Fast Food / Cafe,high,0,
Ah Chew Dessert (Cineleisure),,contactless,5814,Fast Food / Cafe,high,0,
Alchemist,,contactless,5814,Fast Food / Cafe,high,0,
AtTea,,contactless,5814,Fast Food / Cafe,high,0,
Ayam Penyet President @ Bedok,,contactless,5814,Fast Food / Cafe,high,0,
BAOS PASTRY,,contactless,5814,Fast Food / Cafe,high,0,
Baker & Cook,,contactless,5814,Fast Food / Cafe,high,0,
Beastly Girls,,contactless,5814,Fast Food / Cafe,high,0,
Bee Cheng Hiang Online (Website),,online,5814,Fast Food / Cafe,high,0,
Boon Keng Road Fish Head,,contactless,5814,Fast Food / Cafe,high,0,
Breakfast Grill @ East Coast Road (QR code),,contactless,5814,Fast Food / Cafe,high,0,
CAKEBAR (OHV),,contactless,5814,Fast Food / Cafe,high,0,
Cotti Coffee,,online,5814,Fast Food / Cafe,high,0,
Deliz Cafe,,contactless,5814,Fast Food / Cafe,high,0,
Doran Chicken Online Payment,,online,5814,Fast Food / Cafe,high,0,
Eastern Rice Dumpling,,contactless,5814,Fast Food / Cafe,high,0,
Everton Creamery Pte L,,contactless,5814,Fast Food / Cafe,high,0,
Folkyard Serangoon,,contactless,5814,Fast Food / Cafe,high,0,
Foobar,,online,5814,Fast Food / Cafe,high,0,
Gelatissimo (i12 Katong),,contactless,5814,Fast Food / Cafe,high,0,
Golden Cafe,,contactless,5814,Fast Food / Cafe,high,0,
Grab dine out,,online,5814,Fast Food / Cafe,high,0,
HA JUN KOREAN (ELEMENTUM),,contactless,5814,Fast Food / Cafe,high,0,
Hundred Grains,,contactless,5814,Fast Food / Cafe,high,0,
JIAK BA FOOD HEAVEN (ARC),,online,5814,Fast Food / Cafe,high,0,
Jollibee Novena Square,,contactless,5814,Fast Food / Cafe,high,0,
KARUBI,,contactless,5814,Fast Food / Cafe,high,0,
Kyukei Coffee,,contactless,5814,Fast Food / Cafe,high,0,
Marutama Ramen @ The Central,,any,5814,Fast Food / Cafe,high,0,
Meidi Ya @ Millenia Walk (Gokoku Japanese Bakery),,contactless,5814,Fast Food / Cafe,high,0,
Milk And Honey,,contactless,5814,Fast Food / Cafe,high,0,
Mincheng Bibimbap,,contactless,5814,Fast Food / Cafe,high,0,
Muji Cafe Plaza Sing,,contactless,5814,Fast Food / Cafe,high,0,
OMISE CATAND,,contactless,5814,Fast Food / Cafe,high,0,
PastaGo,,contactless,5814,Fast Food / Cafe,high,0,
Poke Theory PLQ,,contactless,5814,Fast Food / Cafe,high,0,
Prologue Cafe @ Millenia Walk,,contactless,5814,Fast Food / Cafe,high,0,
Ruxu Tongsui,,contactless,5814,Fast Food / Cafe,high,0,
SOD Cafe,,contactless,5814,Fast Food / Cafe,high,0,
Sukiya Online,,online,5814,Fast Food / Cafe,high,0,
Sultan Prata Corner,,contactless,5814,Fast Food / Cafe,high,0,
Super Sushi,,contactless,5814,Fast Food / Cafe,high,0,
Surrey hills vivo,,contactless,5814,Fast Food / Cafe,high,0,
TOAST BOX - Great World City,,contactless,5814,Fast Food / Cafe,high,0,
TORI-Q GREAT WORLD CITY,,contactless,5814,Fast Food / Cafe,high,0,
To: YOU Cafe,,contactless,5814,Fast Food / Cafe,high,0,
Tolido's Express Nook,,contactless,5814,Fast Food / Cafe,high,0,
Tori Q Bedok Mall,,contactless,5814,Fast Food / Cafe,high,0,
Tsuzumi Dango,,contactless,5814,Fast Food / Cafe,high,0,
Two Men Bagel House,,contactless,5814,Fast Food / Cafe,high,0,
Wok Hey,,contactless,5814,Fast Food / Cafe,high,0,
Yakun 100AM,,contactless,5814,Fast Food / Cafe,high,0,
Yakun 313 Somerset (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun AMK Hub (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Aperia Mall,,contactless,5814,Fast Food / Cafe,high,0,
Yakun Artra (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Bedok Mall (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Bugis,,contactless,5814,Fast Food / Cafe,high,0,
Yakun Bukit Panjang Plaza (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Changi Terminal 3 B1 (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun City Square Mall (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Clementi Mall,,contactless,5814,Fast Food / Cafe,high,0,
Yakun Compass One (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Funan (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Fusionopolis (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Harbourfront,,contactless,5814,Fast Food / Cafe,high,0,
Yakun Heartland Mall (Mastercard Contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Hong Leong Building (Mastercard),,contactless,5814,Fast Food / Cafe,high,0,
Yakun IMM (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Ion Orchard (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Jewel (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Lot One,,contactless,5814,Fast Food / Cafe,high,0,
Yakun Ng Teng Fong GH (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun One Raffles Place (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Paragon (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Parkway (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Rail mall (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Seletar Mall (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Sun Plaza (Visa contactless),,contactless,5814,Fast Food / Cafe,high,0,
Yakun Takashimaya B2 (Mastercard contactless),,contactless,5814,Fast Food / Cafe,high,0,
